id,name,songs
1TPzaMKlxzUVoTOFclg60X,proto-metal,10.0
0hDncVYYvwJyXqZZZWyM0D,uk alternative hip hop,1.0
7eDbLqwLKaAd8BiWL5iiTk,jazz guitar,2.0
45j49D0tYBn87h0YaP4LIP,flute rock,1.0
3qzAbzsqxoKDXjWgAplvHU,trap triste,2.0
1uuwT2l3eULzwLHfWDMnfs,smooth jazz,1.0
2oa201ddIFBfttudVhRMOf,eugene indie,1.0
48VEPYF5V3VcMpPIcfZeWh,hard bass,3.0
0WRa14OPI9ygHGHEu7RLq7,vintage jazz,1.0
6QpkzrHzMxuA1bBrenCBK2,k-pop,2.0
5nc9ZuUWIT5pKGByDWKNgP,italian alternative,1.0
37JctJt1K6ZN7HtpFh3mxp,chilean rock,1.0
6NzPi5DpnQhL7KVkEWSxxS,reggae en espanol,1.0
3Cy5sQvJOIA5xaezxlE0SW,classic italian pop,2.0
1hTo8o6hlWE22b04wYYW5P,french romanticism,3.0
0ToXOknnD7zacIuvxULji9,glee club,1.0
1LCPkUhLi9SWUxgVatLTN1,nouvelle chanson francaise,1.0
5rD9kbZ8SUFj6iUvAyYA6S,dutch prog,1.0
26QlGXNv9NzGy0UqQk7fuB,waiata mo tamariki,1.0
3rQm6MpMsbE6UOy9c60arU,latin afrobeat,2.0
0ItzkJ67knDFi2o3OYHzak,pop argentino,2.0
6yAfuC6bk9T5DQCe6EgNFV,classic city pop,2.0
7wpCQUEvRPyCJTg0I6qJws,harlem renaissance,8.0
1hn3MVtRdYB0Gbq4hgVwop,argentine punk,1.0
15d2tcMLdmlQ3YJBXoLEdD,vapor trap,2.0
4Lzvn2dUVfMRrq8ku7Zmf9,hyphy,1.0
1QLs08Aa1K06QzAw4pRSpK,british soul,1.0
66sjQJH1n2djExGtP0d53O,synth punk,1.0
48uYXsxwYJzAoCxYplywIj,melodic power metal,7.0
4jjttg8K0FODUnRni4r26O,melancholia,3.0
2XGSNSNvTUDrTR3H9KmUPh,urbano espanol,4.0
1DMLCI4pAS8XMj6EBbqoVS,k-pop girl group,2.0
7BJyWFGJUuIAvssCEWzPZs,scottish new wave,1.0
42dgEU0UsRJwzk6CU75bZA,pokemon,1.0
7byGIYzwAvgShI0DbxMVI2,classic girl group,3.0
2owmkbu7MZ4AoP9xfbueUN,uk doom metal,2.0
7hi6JlhnKuAMxdfHwhWWMx,a cappella,1.0
4Ss7fgL7msbDLjshyaf0fL,yacht rock,8.0
2moAa8AvO82m8s6SNNF7Mv,metropopolis,1.0
3bHp5jxWfssj6y3DIztKnR,latin metal,1.0
6oSzzv2rp8y9pSGeyQ3BbM,shanty,1.0
2D6tHvtkYN5JNqa67wIe2j,antiviral pop,1.0
0G24H8cj1v5vlFdbWpSTxP,ska revival,1.0
335Ym1inBIpdwluJ23IEfh,british choir,1.0
2wf80pRjvPyWCkAR2LAfFb,jazz drums,2.0
1ykLWrO8nakL5ruiLbKeDS,jazz blues,2.0
33VFdft5Z9yXSxRMD4zLKL,japanese vgm,1.0
72HGDJvxbmCoPplaRbFfot,vocal harmony group,2.0
1hP4KfnGSjaOX6OEgvbJqQ,italian adult pop,1.0
5FrmFk2FQoYHpLPpaYx8uu,bolero,1.0
5qspOthEj0fZvd7jgVNBYN,indietronica,2.0
7nK51Su6sNfbHy10qUeywX,punk blues,2.0
5RwvipA4YhBt61P3u2o1Ms,classic swedish pop,1.0
6ORSfPmqQ0dyYHvvqzbUgh,la indie,2.0
36Udcbe5sYnzt8HL3GauDo,nuevo folklore mexicano,1.0
1K0cWp2uKPYhyjGTr5fwpE,new orleans jazz,2.0
3ooa1z43cWNJQDxWohO8DF,garage rock,2.0
